movie,year,imdb,metascore,votes,certificate,showtime(mins),genre,summary
Star Trek: Into Darkness,(2013),7.7,72,438797,PG-13,132,"Action, Adventure, Sci-Fi            ","After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.            "
Pacific Rim,(2013),6.9,65,434272,PG-13,131,"Action, Adventure, Sci-Fi            ","As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.            "
The Great Gatsby,(2013),7.3,55,419484,PG-13,143,"Drama, Romance            ","A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby.            "
American Hustle,(2013),7.3,90,407245,R,138,"Crime, Drama            ","A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia.            "
Dallas Buyers Club,(2013),8.0,84,389336,R,117,"Biography, Drama            ","In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.            "
The Wolverine,(2013),6.7,61,387512,PG-13,126,"Action, Adventure, Sci-Fi            ","When Wolverine is summoned to Japan by an old acquaintance, he is embroiled in a conflict that forces him to confront his own demons.            "
Elysium,(I) (2013),6.6,61,385372,R,109,"Action, Drama, Sci-Fi            ","In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds.            "
Rush,(I) (2013),8.1,75,380370,R,123,"Action, Biography, Drama            ",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.            
The Conjuring,(2013),7.5,68,377398,R,112,"Horror, Mystery, Thriller            ",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.            
Captain Phillips,(2013),7.8,83,376598,PG-13,134,"Biography, Drama, Thriller            ","The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.            "
We're the Millers,(2013),7.0,44,361532,R,110,"Comedy, Crime            ",A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.            
This Is the End,(2013),6.6,67,351753,R,107,"Comedy, Fantasy            ","6 Los Angeles celebrities are stuck in James Franco's house after a series of devastating events just destroyed the city. Inside, the group not only will have to face with the apocalypse, but with themselves.            "
Fast & Furious 6,(2013),7.1,61,339014,PG-13,130,"Action, Crime, Thriller            ","Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty.            "
Despicable Me 2,(2013),7.4,62,332801,PG,98,"Animation, Adventure, Comedy            ","When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.            "
Monsters University,(2013),7.3,65,280385,G,104,"Animation, Adventure, Comedy            ",A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.            
The Secret Life of Walter Mitty,(2013),7.3,54,269121,PG,114,"Adventure, Comedy, Drama            ","When his job along with that of his co-worker are threatened, Walter takes action in the real world embarking on a global journey that turns into an adventure more extraordinary than anything he could have ever imagined.            "
The Hangover Part III,(2013),5.8,30,261335,R,100,"Adventure, Comedy, Crime            ","When one of their own is kidnapped by an angry gangster, the Wolf Pack must track down Mr. Chow, who has escaped from prison and is on the run.            "
About Time,(I) (2013),7.8,55,249474,R,123,"Comedy, Drama, Fantasy            ","At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.            "
Lone Survivor,(2013),7.5,60,239642,R,121,"Action, Biography, Drama            ","Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.            "
Kick-Ass 2,(2013),6.6,41,231674,R,103,"Action, Comedy, Crime            ","Following Kick-Ass' heroics, other citizens are inspired to become masked crusaders. But Red Mist leads his own group of evil supervillains to get revenge, kill Kick-Ass and destroy everything he stands for.            "
Olympus Has Fallen,(2013),6.5,41,229695,R,119,"Action, Thriller            ","Disgraced Secret Service agent (and former presidential guard) Mike Banning finds himself trapped inside the White House in the wake of a terrorist attack; using his inside knowledge, Banning works with national security to rescue the President from his kidnappers.            "
Snowpiercer,(2013),7.1,84,226807,R,126,"Action, Drama, Sci-Fi            ","Set in a future where a failed climate-change experiment kills all life on the planet except for a lucky few who boarded the Snowpiercer, a train that travels around the globe, where a class system emerges.            "
The World's End,(2013),7.0,81,224690,R,109,"Action, Comedy, Sci-Fi            ",Five friends who reunite in an attempt to top their epic pub crawl from twenty years earlier unwittingly become humanity's only hope for survival.            
Don Jon,(2013),6.6,66,212039,R,90,"Comedy, Drama, Romance            ","A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.            "
Ender's Game,(2013),6.6,51,206632,PG-13,114,"Action, Adventure, Fantasy            ","Young Ender Wiggin is recruited by the International Military to lead the fight against the Formics, an insectoid alien race who had previously tried to invade Earth and had inflicted heavy losses on humankind.            "
Escape Plan,(2013),6.7,49,205876,R,115,"Action, Crime, Mystery            ","When a structural-security authority finds himself set up and incarcerated in the world's most secret and secure prison, he has to use his skills to escape with help from the inside.            "
Warm Bodies,(2013),6.9,60,204994,PG-13,98,"Comedy, Horror, Romance            ","After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world.            "
The Lone Ranger,(2013),6.4,37,204147,PG-13,150,"Action, Adventure, Western            ","Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice.            "
Gangster Squad,(2013),6.7,40,191851,R,113,"Action, Crime, Drama            ","It's 1949 Los Angeles, the city is run by gangsters and a malicious mobster, Mickey Cohen. Determined to end the corruption, John O'Mara assembles a team of cops, ready to take down the ruthless leader and restore peace to the city.            "
Oz the Great and Powerful,(2013),6.3,44,189389,PG,130,"Adventure, Family, Fantasy            ","A frustrated circus magician from Kansas is transported to a magical land called Oz, where he will have to fulfill a prophecy to become the king, and release the land from the Wicked Witches using his great (but fake) powers.            "
White House Down,(2013),6.4,52,186794,PG-13,131,"Action, Drama, Thriller            ","While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.            "
The Wolf of Wall Street,(2013),8.2,75,986755,R,180,"Biography, Comedy, Crime            ","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.            "
Gravity,(2013),7.7,96,682525,PG-13,91,"Drama, Sci-Fi, Thriller            ",Two astronauts work together to survive after an accident which leaves them stranded in space.            
Iron Man 3,(2013),7.2,62,655751,PG-13,130,"Action, Adventure, Sci-Fi            ","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.            "
